name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime
Playing God,1997.786301369863,7652965.0,1.476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,17,4,12000000.0,94.0
Phenomenon,1996.5068493150684,199559799.0,4.334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,3,32000000.0,123.0
Gnomeo and Juliet,2011.1123287671232,106270797.0,3.661,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,11,1,36000000.0,84.0
The Color of Money,1986.786301369863,117957323.0,10.908,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,17,4,13800000.0,119.0
Blackbeard's Ghost,1968.1041095890407,138612686.0,2.982,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,1,0.0,106.0
Ernest Scared Stupid,1991.7698630136983,28320147.0,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,11,4,0.0,91.0
The Emperor's New Groove,2000.945205479452,136789252.0,1.798,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,15,4,100000000.0,78.0
Double Take,2001.0328767123287,44418589.0,1.524,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,24000000.0,88.0
Rocket Man,1997.7671232876712,28371890.0,3.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,10,4,,
Mulan,1998.4630136986304,216807832.0,1.29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,19,2,90000000.0,88.0
Song of the South,1946.854794520548,1078510579.0,3.449,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,4,2125000.0,94.0
The Black Hole,1979.9616438356163,120377374.0,2.046,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,21,4,20000000.0,98.0
Raising Helen,2004.4054794520548,50886144.0,3.482,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,28,2,50000000.0,119.0
A Gun in Betty Lou's Handbag,1992.6328767123289,7295423.0,2.039,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,21,3,13000000.0,89.0
The Air Up There,1994.019178082192,42940186.0,5.089,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1,17000000.0,107.0
Roommates,1995.172602739726,23404369.0,2.164,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,22000000.0,108.0
Morning Light,2008.786301369863,322979.0,0.644,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,17,4,0.0,97.0
Valiant,2005.627397260274,25616292.0,0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,19,3,35000000.0,76.0
Down and Out in Beverly Hills,1986.0849315068488,141183693.0,1.999,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,31,1,14000000.0,103.0
