name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime,is_animation
Ratatouille,2007.490410958904,357037255.2213974,14.191,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,29,2,211719043.8984865,111.0,0.0
Secretariat,2010.7616438356165,85602312.23905784,3.244,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,8,4,46973827.82404519,123.0,0.0
Medicine Man,1992.1013698630136,190454148.1413043,6.203,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,1,83436920.88382037,106.0,0.0
A Thousand Acres,1997.709589041096,26551054.67426791,2.642,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,19,3,51055077.88161993,105.0,0.0
Mission to Mars,2000.1917808219175,161807188.8113821,12.223,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,10,1,152955574.91289198,114.0,0.0
Brother Bear,2003.805479452055,189618702.41366845,1.426,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,24,4,203586086.95652175,85.0,1.0
Snow White and the Seven Dwarfs,1937.9616438356163,106269396782.73643,1.043,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,21,4,30249613.407291662,83.0,1.0
Toy Story 3,2010.4602739726024,595102372.1751522,3.211,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,18,2,268421873.28025824,103.0,0.0
Miracle,2004.0986301369865,135393571.46156695,4.017,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,1,43379248.279512964,135.0,0.0
My Favorite Martian,1999.1150684931504,107419578.11581631,4.147,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,1,114181122.4489796,94.0,0.0
Benji the Hunted,1987.4246575342463,84494810.60044013,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,2,0.0,88.0,0.0
A Far Off Place,1993.1972602739727,53161050.11411764,1.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,1,0.0,100.0,0.0
Old Dogs,2009.890410958904,75714223.38102518,0.677,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,25,4,47744328.484130934,88.0,0.0
Alice in Wonderland,2010.1780821917807,479218266.40791804,11.195,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,1,268421873.28025824,108.0,1.0
The Little Mermaid,1989.86301369863,528020451.9504838,4.14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,15,4,94404838.7096774,83.0,1.0
Stick It,2006.323287671233,50277912.70240575,0.644,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,28,2,0.0,105.0,0.0
Funny Bones,1995.2493150684927,1969132.2399934384,1.579,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,31,1,0.0,128.0,0.0
Cars,2006.435616438356,456025565.87063485,6.878,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,2,174199404.76190478,117.0,0.0
Bicentennial Man,1999.9506849315069,166595922.79336733,10.423,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,17,4,175663265.30612242,131.0,0.0
Chimpanzee,2012.3013698630136,39101214.75245433,1.569,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,20,2,6373315.504760576,78.0,0.0
The Apple Dumpling Gang,1975.495890410959,713941511.6200743,0.746,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,3,0.0,100.0,0.0
The Other Sister,1999.1534246575343,81060395.22091836,3.605,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,26,1,61482142.85714285,130.0,0.0
A Simple Twist of Fate,1994.66301369863,13892599.438562753,1.389,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,3,0.0,106.0,0.0
Where the Heart Is,1990.145205479452,4949208.050918134,2.152,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,23,1,0.0,107.0,0.0
Kaze Tachinu,2013.8438356164384,6742878.886768802,9.697,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,8,4,37687856.557218716,126.0,0.0
Off Beat,1986.2767123287672,29382807.659306567,1.327,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,2,26702098.540145982,92.0,0.0
The Greatest Game Ever Played,2005.7397260273967,30213552.351049665,12.955,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,30,3,37462237.58320532,120.0,0.0
The Three Musketeers,1993.854794520548,221385663.53588232,2.215,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,4,60758823.52941176,105.0,0.0
A Civil Action,1998.972602739726,169020884.3690184,4.684,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,25,4,125680061.34969322,115.0,0.0
Walt and El Grupo,2009.6849315068491,31462.14834737131,3.075,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,10,3,,,0.0
Powder,1995.813698630137,114694674.53070866,3.908,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,27,4,18242929.790026244,111.0,0.0
1492: Conquest of Paradise,1992.764383561644,30082042.91069137,9.981,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9,4,98038382.03848892,154.0,0.0
The Cemetery Club,1993.090410958904,23026664.507647056,15.218,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0.0,107.0,0.0
Stay Alive,2006.2301369863012,43132970.23995536,1.949,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,24,1,13064955.357142854,85.0,0.0
That Darn Cat,1997.120547945205,61290085.697757006,0.689,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,14,1,0.0,89.0,0.0
The Muppet Christmas Carol,1992.9342465753425,115596878.95812543,4.185,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,11,4,25031076.26514611,85.0,0.0
Step Up 2 the Streets,2008.120547945205,92591287.00020435,1.451,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,14,1,31263219.741480608,98.0,0.0
Fantasia 2000 (Theatrical Release),2000.454794520548,24197816.680139374,3.075,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,16,2,,,0.0
The Santa Clause 2,2002.8246575342464,328539960.7961367,4.909,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,4,105739716.50917175,104.0,0.0
The Recruit,2003.0849315068488,117369799.89625,3.793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31,1,73163749.99999999,115.0,0.0
Money for Nothing,1993.6849315068491,4308805.134117647,1.094,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,10,3,22278235.294117644,100.0,0.0
Bad Company,1995.054794520548,13113962.724803148,1.501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,20,1,0.0,108.0,0.0
I Love Trouble,1994.490410958904,125693598.56062752,5.605,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,29,2,88862854.25101215,123.0,0.0
The Absent Minded Professor,1961.208219178082,3035141389.7648826,3.274,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,16,1,0.0,96.0,0.0
Jungle 2 Jungle,1997.183561643836,200679968.2632087,1.837,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,58348660.43613707,97.0,0.0
Tex,1982.87397260274,62604511.95176165,1.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,19,4,0.0,103.0,0.0
Life With Mikey,1993.4219178082192,50929135.49058823,0.84,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,2,4050588.2352941176,91.0,0.0
Gone Fishin',1997.4109589041093,66126133.901838,2.444,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,30,2,96639968.84735201,94.0,0.0
Rogue One: A Star Wars Story,2016.9479452054795,645631674.451495,1.063,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,16,4,243872053.73176613,133.0,0.0
The Marrying Man,1991.2602739726028,53587060.04618208,1.183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,5,2,55866593.245227605,116.0,0.0
Bubble Boy,2001.641095890411,12311726.495031057,0.775,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,24,3,0.0,84.0,0.0
Baby: Secret of the Lost Legend,1985.2246575342465,92204539.7819238,0.957,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,22,1,0.0,95.0,0.0
The Fox and the Hound,1981.5205479452052,428579851.0483498,2.76,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,10,3,38634323.43234323,82.0,1.0
High Heels and Low Lifes,2001.8109589041096,558179.5099378881,4.099,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,26,4,0.0,86.0,0.0
The Tie That Binds,1995.6794520547944,21445802.567093175,1.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,8,3,26884317.58530183,99.0,0.0
John Carter,2012.1890410958904,98623800.671947,11.255,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,1,318665775.2380289,132.0,0.0
Blank Check,1994.1123287671232,124745287.75047234,1.531,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,11,1,25671491.228070173,93.0,0.0
Guardians of the Galaxy,2014.5780821917808,424972759.4072722,24.829,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,3,210155405.17707485,121.0,0.0
Star Wars Ep. VII: The Force Awakens,2015.9534246575345,1156536803.0874367,3.075,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,18,4,,,0.0
A Goofy Movie,1995.2657534246573,131501910.71026902,1.55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,7,2,34565551.18110236,78.0,1.0
