name,release_date,MovieSuccessLevel,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,is_animation,budget,runtime
Race to Witch Mountain,2009.2,3,3.237,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,13,1,0.0,68206183.54875848,98.0
The Adventures of Huck Finn,1993.2520547945203,2,4.889,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0.0,13164411.764705881,108.0
Jefferson in Paris,1995.2493150684927,1,3.223,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,31,1,0.0,26884317.58530183,139.0
The Jungle Book,2016.2876712328768,4,26.223,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,15,2,0.0,213388047.01529536,106.0
Sky High,2005.572602739726,3,5.355,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,29,3,0.0,52447132.61648744,100.0
Toy Story 2,1999.87397260274,4,5.963,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19,4,0.0,158096938.7755102,92.0
The Rescuers,1977.4712328767123,3,4.607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,22,2,1.0,5795148.514851484,78.0
Remember the Titans,2000.7369863013696,3,6.176,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,29,3,0.0,50985191.637630664,113.0
A Lot Like Love,2005.3068493150688,2,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,22,2,0.0,44954685.099846385,107.0
3 Ninjas,1992.5945205479447,2,5.697,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7,3,0.0,13558499.64362081,84.0
Flight of the Navigator,1986.5753424657528,2,1.87,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,30,3,0.0,24031888.686131384,90.0
America's Heart and Soul,2004.4986301369863,1,0.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,3,0.0,34083695.07676019,84.0
Swing Vote,2008.5780821917808,1,1.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,3,0.0,28544678.894395337,120.0
The Straight Story,1999.780821917808,1,17.35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,15,4,0.0,17566326.53061224,112.0
The Kid,2000.512328767124,3,5.697,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,3,0.0,110467915.21486644,104.0
Enchanted,2007.8794520547945,3,2.764,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,21,4,1.0,119974124.87580903,107.0
Zootopia,2016.1753424657527,4,5.956,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,1.0,182904040.29882458,109.0
I'll Be Home For Christmas,1998.857534246576,2,0.988,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,13,4,0.0,53862883.435582824,86.0
The War at Home,1996.876712328767,1,21.371,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,20,4,0.0,41035117.909496486,119.0
Peter Pan: Return to Neverland,2002.123287671233,3,0.622,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,15,1,0.0,32535297.38743746,72.0
Ratatouille,2007.490410958904,4,12.541,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,29,2,0.0,211719043.8984865,111.0
Secretariat,2010.7616438356165,2,3.387,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,8,4,0.0,46973827.82404519,123.0
Medicine Man,1992.1013698630136,3,7.105,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,7,1,0.0,83436920.88382037,106.0
A Thousand Acres,1997.709589041096,1,1.584,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,19,3,0.0,51055077.88161993,105.0
Mission to Mars,2000.1917808219173,3,6.965,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,10,1,0.0,152955574.91289198,114.0
Brother Bear,2003.805479452055,3,1.553,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,24,4,1.0,203586086.95652175,85.0
Snow White and the Seven Dwarfs,1937.9616438356163,5,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,21,4,1.0,30249613.407291662,83.0
Toy Story 3,2010.4602739726024,4,3.893,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,18,2,0.0,268421873.28025824,103.0
Miracle,2004.0986301369865,3,3.104,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,1,0.0,43379248.279512964,135.0
My Favorite Martian,1999.1150684931504,2,2.308,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,1,0.0,114181122.4489796,94.0
Benji the Hunted,1987.4246575342463,2,0.648,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,2,0.0,56676144.36619718,88.0
A Far Off Place,1993.1972602739727,2,1.615,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,1,0.0,44556470.58823529,100.0
Old Dogs,2009.890410958904,2,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,25,4,0.0,47744328.484130934,88.0
Alice in Wonderland,2010.1780821917807,4,11.267,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,1,1.0,268421873.28025824,108.0
The Little Mermaid,1989.86301369863,4,4.367,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,15,4,1.0,94404838.7096774,83.0
Stick It,2006.323287671233,2,1.007,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,28,2,0.0,31936557.539682537,105.0
Funny Bones,1995.2493150684927,1,1.914,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,31,1,0.0,42246784.77690288,128.0
Cars,2006.435616438356,4,5.963,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,2,0.0,174199404.76190478,117.0
Bicentennial Man,1999.9506849315069,3,15.365,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,17,4,0.0,175663265.30612242,131.0
Chimpanzee,2012.3013698630136,2,1.888,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,20,2,0.0,6373315.504760576,78.0
The Apple Dumpling Gang,1975.495890410959,3,3.345,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,3,0.0,119673048.32713753,100.0
The Other Sister,1999.1534246575343,2,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,26,1,0.0,61482142.85714285,130.0
A Simple Twist of Fate,1994.66301369863,1,0.972,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,3,0.0,43444062.0782726,106.0
Where the Heart Is,1990.145205479452,1,3.425,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,23,1,0.0,49260979.34200459,107.0
Kaze Tachinu,2013.8438356164384,1,10.348,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,8,4,0.0,37687856.557218716,126.0
Off Beat,1986.2767123287672,1,0.694,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11,2,0.0,26702098.540145982,92.0
The Greatest Game Ever Played,2005.7397260273967,2,29.974,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,30,3,0.0,37462237.58320532,120.0
The Three Musketeers,1993.854794520548,3,1.578,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,4,0.0,60758823.52941176,105.0
A Civil Action,1998.972602739726,3,5.165,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,25,4,0.0,125680061.34969322,115.0
Walt and El Grupo,2009.684931506849,1,3.237,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,10,3,0.0,30010720.76145373,103.0
Powder,1995.813698630137,2,3.316,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,27,4,0.0,18242929.790026244,111.0
1492: Conquest of Paradise,1992.764383561644,1,11.154,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9,4,0.0,98038382.03848892,154.0
The Cemetery Club,1993.090410958904,1,15.136,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0.0,44556470.58823529,107.0
Stay Alive,2006.2301369863007,2,2.468,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,24,1,0.0,13064955.357142854,85.0
That Darn Cat,1997.120547945205,2,0.63,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,14,1,0.0,40114704.04984423,89.0
